deep_id,bib_ind_and_in_coll,title,title_alternative_keywords,pub_year,pub_year_display,first_production_date,first_production_date_display,first_publish_date,record_type,theater_type,greg_number,stc_or_wing,stc_or_wing2,play_edition_number,book_edition_number,variant_description,edition,total_editions,leaves,illustration_on_tp_or_frontis,dedication_to,commendatory_verses_by,to_the_reader,argument,char_list,actor_list,blackletter,latin,addition_and_correction_attributions,other_paratexts,sr_entries,format,additional_notes,transcript_title,transcript_author,transcript_performance,transcript_latin,transcript_imprint,transcript_explicit,transcript_colophon,transcript_dedication,transcript_commendatory_verses,transcript_to_the_reader,transcript_printed_license,transcript_general_title,transcript_woodcut,transcript_character_list,transcript_actor_list,transcript_argument,transcript_modern_spelling,display_play_type,display_authors,display_genre,display_booksellers,display_printers,display_publishers,display_companies,display_auspices,errata,imprintlocation
284,,"Every Man Out of His Humor",Humour,1600,1600,1599,1599,1600,"Single-Play Playbook",None,163a,14767,,1,1,,Q1,"3 quartos, 2 folios in collection",68,,,,Yes,,Yes,,,Yes,Yes,"Original ending of play [R3v]","Apr 8, 1600: Entered to William Holme (3): ""A Comicall Satyre of eu<i>er</i>y man out of his humo<sup>r</sup>"".<br />Apr 28, 1638: Transferred from John Smethwick to Richard Bishop: ""a play called Euery man out of his humour by Ben: Iohnson"".",Quarto,"Greg writes that some copies of this edition are quartos and others quarto-form octavos [4° and (4°-form) 8°], but the ""quarto-form octavos"" are better described as large-paper quartos; see G.T. Tanselle, ""The Concept of Format,"" <i>Studies in Bibliography</i> 53 (2000): 67-115.","<i>The Comicall  Satyre of</i> EVERY MAN OVT OF HIS HVMOR.","<i>AS IT WAS  FIRST COMPOSED</i> by the A<small>UTHOR</small> B. I.","<i>Containing  more than hath been Publickely Spoken or Acted</i>. With the seuerall Character of euery Person.","[in single column] <i>Non aliena meo pressi pede</i> | * <i>si propius stes</i> || <i>Te capient magis</i> | * <i>& decies repetita placebunt</i>.","LONDON, Printed for <i>William Holme</i>, and are to  be sold at his Shop at Sarjeants Inne gate in Fleetstreet. 1600.",,,,,"Publisher’s note on two endings of the play [A4v]; author's defense of original ending [R3r]",,,,"""The names of the Actors"" [A2v]",,,"The comical satire of every man out of his humor as it was first composed by the Author B.J. containing more than hath been publicly spoken or acted with the several character of every person non aliena meo pressi pede si propius stes te capient magis et decies repetita placebunt London printed for William Holme and are to be sold at his shop at sergeants' inn gate in Fleet Street 1600","Adult Professional","Jonson, Ben",Comedy,,"Islip, Adam","Holme, William (3)",,"Lord Chamberlain's (Hunsdon's) Men",,"W.7 (Fleet St. - Serjeant's Inn / Whitefriars)"
285,,"Every Man Out of His Humor",Humour,1600,1600,1599,1599,1600,"Single-Play Playbook",None,163b,14768,,2,2,,Q2,"3 quartos, 2 folios in collection",64,,,,Yes,,Yes,,,Yes,Yes,"Original ending of play [Q4r]","Apr 8, 1600: Entered to William Holme (3): ""A Comicall Satyre of eu<i>er</i>y man out of his humo<sup>r</sup>"".<br />Apr 28, 1638: Transferred from John Smethwick to Richard Bishop: ""a play called Euery man out of his humour by Ben: Iohnson"".",Quarto,"The printer attributions are based on those in the Revels edition of the play edited by Helen Ostovich (Manchester UP, 2001) (3). ","<i>The Comicall  Satyre of</i> EVERY MAN OVT OF HIS HVMOR.","AS IT WAS  FIRST COMPOSED by the Author B. I.","<i>Containing more than hath been publikely Spoken or Acted</i>. With the seuerall Character of euery Person.","[in single column] <i>Non aliena meo pressi pede</i> | * <i>si propius stes</i> || <i>Te capient magis</i> | * <i>& decies repetita placebunt</i>.","<i>LONDON</i>, Printed  for <i>William Holme</i>, and are to be sold  at his shoppe at Sarieants Inne gate in Fleetstreet. 1600.",,,,,"Publisher’s note on two endings of the play [A3r]; author's defense of original ending [Q3v]",,,,"""The names of the actors"" [A1v]",,,"The comical satire of every man out of his humor as it was first composed by the Author B.J. containing more than hath been publicly spoken or acted with the several character of every person non aliena meo pressi pede si propius stes te capient magis et decies repetita placebunt London printed for William Holme and are to be sold at his shop at Sergeants' inn gate in Fleet street 1600","Adult Professional","Jonson, Ben",Comedy,,"Short, Peter; Islip, Adam","Holme, William (3)",,"Lord Chamberlain's (Hunsdon's) Men",,"W.7 (Fleet St. - Serjeant's Inn / Whitefriars)"
286,,"Every Man Out of His Humor",Humour,1600,1600,1599,1599,1600,"Single-Play Playbook",None,163c,14769,,3,3,,Q3,"3 quartos, 2 folios in collection",64,,,,Yes,,Yes,,,Yes,Yes,"Original ending of play [Q4r]","Apr 8, 1600: Entered to William Holme (3): ""A Comicall Satyre of eu<i>er</i>y man out of his humo<sup>r</sup>"".<br />Apr 28, 1638: Transferred from John Smethwick to Richard Bishop: ""a play called Euery man out of his humour by Ben: Iohnson"".",Quarto,"Greg suggests that this edition possibly ""was produced some years after the date"" in its imprint (<i>Bibliography</i>, 1:265), but Helen Ostovich in her Revels edition of the play (Manchester UP, 2001) argues that ""no typographical evidence contradicts or throws doubt on the 1600 title-page date."" The printer attributions are also based on her edition of the play (4). ","<i>The comicall Satyre of</i> EVERY MAN OVT OF HIS HVMOR.","As it was first composed by the Author B. I.","<i>Containing  more then hath been publikely spoken or acted</i>. With the seuerall Character of euery person.","<i>Non aliena meo pressi pede</i> | * <i>si propius stes</i> || <i>Te capient magis</i> | * <i>& decies repetita placebunt</i>.","LONDON, Printed for Nicholas Linge. 1600.",,,,,"Publisher’s note on two endings of the play [A3r]; author's defense of original ending [Q3v]",,,,"""The names of the actors"" [A1v]",,,"The comical satire of every man out of his humor as it was first composed by the Author B.J. containing more than hath been publicly spoken or acted with the several character of every person non aliena meo pressi pede si propius stes te capient magis et decies repetita placebunt London printed for Nicholas Ling 1600","Adult Professional","Jonson, Ben",Comedy,,"White, William; Simmes, Valentine (?); Stafford, Simon (?); Allde, Edward (?)","Ling, Nicholas",,"Lord Chamberlain's (Hunsdon's) Men",,
287,,"The Maid's Metamorphosis","Maids Maid",1600,1600,1600,"1600 [1599-1600]",1600,"Single-Play Playbook",None,164a,17188,,1,1,,Q1,"1 quarto",28,,,,,,,,,,,,"Jul 24, 1600: Entered to Richard Oliffe: ""Two Plaies or thinges. thone called the maid<i>es</i> metamorphosis"".<br />Nov 6, 1615: Transferred from the widow of Richard Oliffe to Philip Knight: ""Maides metamorphosis.""<br />Oct 18, 1617: Transferred from Philip Knight to Richard Hawkins: ""two paie book<i>es</i> followinge viz<sup>t</sup>. The Maides metamorphosis"".<br />May 29, 1638: Transferred from the widow of Richard Hawkins to Robert Mead and Christopher Meredith: ""The Maides Metamorphosis a play"".<br />Jan 25, 1639: Transferred from Robert Mead and Christopher Meredith to William Leake (2): ""The Maides metamorphosis. a Play.""",Quarto,,"THE Maydes Metamorphosis.",,"<i>As it hath bene sundrie times Acted by the Children of Powles</i>.",,"LONDON Printed by Thomas Creede, for Richard Oliue, dwelling in long Lane. 1600.",,,,,,,,,,,,"The maid's metamorphosis as it hath been sundry times acted by the children of Paul's London printed by Thomas Creede for Richard Oliffe dwelling in long lane 1600","Boys Professional",Anonymous,Comedy,,"Creede, Thomas","Oliffe, Richard","Children of Paul's (second)","Children of Paul's (second)",,"E.9 (Smithfield - Long Lane)"
288,,"Henry the Fifth",V,1600,1600,1599,"1599 [1598-1599]",1600,"Single-Play Playbook",None,165a,22289,,1,1,,Q1,"3 quartos, 2 folios in collection",28,,,,,,,,,,,,"Aug 4, 1600(?): ""Henry the ffift: / a booke ... to be staied"".<br />Aug 14, 1600: Entered ""These Copyes followinge beinge thing<i>es</i> formerlye printed & sett over to"" Thomas Pavier: ""The historye of Henrye the v<sup>th</sup> w<sup>th</sup> the battell of Agencourt"".<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""The history of Hen: the fift, and the play of the same"".<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""Agincourt.""",Quarto,"<i>William Shakespeare: A Textual Companion</i> dates the first production to 1598-1599; <i>Annals</i> dates it to 1599.","THE CRONICLE History of Henry the fift, With his  battell fought at <i>Agin Court</i> in <i>France</i>.  Togither with <i>Auntient Pistoll</i>.",,"<i>As it  hath bene sundry times playd by the Right honorable the Lord Chamberlaine his  seruants</i>.",,"LONDON  Printed by <i>Thomas Creede</i>, for Tho. Millington,  and Iohn Busby.  And are to be sold at  his house in Carter Lane,  next the Powle head. 1600.",,,,,,,,,,,,"The chronicle history of Henry the fifth with his battle fought at Agincourt in France together with Ancient Pistol as it hath been sundry times played by the right honorable the lord chamberlain his servants London printed by Thomas Creede for Tho. Millington and John Busby and are to be sold at his house in Carter lane next the Paul head 1600","Adult Professional","Shakespeare, William",History,,"Creede, Thomas","Millington, Thomas; Busby, John (1)","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,"R.1 (Thames St. 1 - Carter Lane)"
289,,"Henry the Fifth",V,1602,1602,1599,"1599 [1598-1599]",1600,"Single-Play Playbook",None,165b,22290,,2,2,,Q2,"3 quartos, 2 folios in collection",26,,,,,,,,,,,,"Aug 4, 1600(?): ""Henry the ffift: / a booke ... to be staied"".<br />Aug 14, 1600: Entered ""These Copyes followinge beinge thing<i>es</i> formerlye printed & sett over to"" Thomas Pavier: ""The historye of Henrye the v<sup>th</sup> w<sup>th</sup> the battell of Agencourt"".<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""The history of Hen: the fift, and the play of the same"".<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""Agincourt.""",Quarto,"<i>William Shakespeare: A Textual Companion</i> dates the first production to 1598-1599; <i>Annals</i> dates it to 1599.","THE CHRONICLE History of Henry the fift, With his  battell fought at <i>Agin Court</i> in <i>France</i>. Together with <i>Auntient Pistoll</i>.",,"<i>As it  hath bene sundry times playd by the Right honorable the Lord Chamberlaine his  seruants</i>.",,"LONDON  Printed by Thomas Creede, for Thomas Pauier,  and are to be sold at his house in Cornhill, at the signe of the Cat and  Parrets neare the Exchange. 1602.",,,,,,,,,,,,"The chronicle history of Henry the fifth with his battle fought at Agincourt in France together with Ancient Pistol as it hath been sundry times played by the right honorable the lord chamberlain his servants London printed by Thomas Creede for Thomas Pavier and are to be sold at his shop in Cornhill at the sign of the cat and Parrots near the Exchange 1602","Adult Professional","Shakespeare, William",History,,"Creede, Thomas","Pavier, Thomas","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,"O.9 (Royal Exchange - South Side)"
290,,"Henry the Fifth",V,1619,"1608 [i.e., 1619]",1599,"1599 [1598-1599]",1600,"Single-Play Playbook",None,165c,22291,,3,3,,Q3,"3 quartos, 2 folios in collection",28,,,,,,,,,,,,"Aug 4, 1600(?): ""Henry the ffift: / a booke ... to be staied"".<br />Aug 14, 1600: Entered ""These Copyes followinge beinge thing<i>es</i> formerlye printed & sett over to"" Thomas Pavier: ""The historye of Henrye the v<sup>th</sup> w<sup>th</sup> the battell of Agencourt"".<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""The history of Hen: the fift, and the play of the same"".<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""Agincourt.""",Quarto,"The imprint is false; the volume was actually printed in 1619 by William Jaggard for Thomas Pavier and apparently intended to form part of Pavier's Shakespeare collection of that year. <i>William Shakespeare: A Textual Companion</i> dates the first production to 1598-1599; <i>Annals</i> dates it to 1599.","THE Chronicle History of Henry the fift, with his  battell fought at <i>Agin Court</i> in France.  Together with an<i>cient Pistoll</i>.",,"<i>As it  hath bene sundry times playd by the Right Honourable the Lord Chamberlaine his  Seruants</i>.",,"Printed for <i>T.  P.</i> 1608.",,,,,,,,,,,,"The chronicle history of Henry the fifth with his battle fought at Agincourt in France together with Ancient Pistol as it hath been sundry times played by the right honorable the lord chamberlain his servants printed for T.P. 1608","Adult Professional","Shakespeare, William",History,,"Jaggard, William","Pavier, Thomas","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,
291,,"1 Sir John Oldcastle",One,1600,1600,1599,"1599 [Oct 16, payment]",1600,"Single-Play Playbook",None,166a,18795,,1,1,,Q1,"2 quartos",40,,,,,,,,,,,,"Aug 11, 1600: Entered to Thomas Pavier: ""The first p<i>ar</i>te of the history of the life. of S<sup>r</sup> Iohn Oldcastell lord Cobham.""<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""S<sup>r</sup> Iohn old castle a play.""<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""S<sup>r</sup> Iohn Oldcastle"".",Quarto,,"The first part Of the true and honorable historie, of  the life of Sir <i>John Old-castle, the good</i> Lord  Cobham.",,"<i>As it  hath been lately acted by the right honorable the Earle of Notingham Lord high  Admirall of England  his seruants.</i>",,"LONDON  Printed by V. S. for Thomas Pauier, and are  to be solde at his shop at the signe of the Catte and Parrots neere the  Exchange. 1600.",,,,,,,,,,,,"The first part of the true and honorable history of the life of Sir John Oldcastle the good lord Cobham as it hath been lately acted by the right honorable the Earl of Nottingham Lord high admiral of England his servants London printed by V.S. for Thomas Pavier and are to be sold at his shop at the sign of the Cat and Parrots near the Exchange 1600","Adult Professional","Wilson, Robert; Drayton, Michael; Munday, Anthony; Hathaway, Richard",History,,"Simmes, Valentine","Pavier, Thomas","Admiral's (Nottingham's) Men","Admiral's (Nottingham's) Men",,"O.9 (Royal Exchange - South Side)"
292,,"1 Sir John Oldcastle",One,1619,"1600 [i.e., 1619]",1599,"1599 [Oct 16, payment]",1600,"Single-Play Playbook",None,166b,18796,,2,2,,Q2,"2 quartos",40,,,,,,,,,,,,"Aug 11, 1600: Entered to Thomas Pavier: ""The first p<i>ar</i>te of the history of the life. of S<sup>r</sup> Iohn Oldcastell lord Cobham.""<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""S<sup>r</sup> Iohn old castle a play.""<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""S<sup>r</sup> Iohn Oldcastle"".",Quarto,"The imprint is false; the volume was actually printed in 1619 by William Jaggard for Thomas Pavier and apparently intended to form part of Pavier's Shakespeare collection of that year.","The first part Of the true & honorable history, of the Life of <i>Sir Iohn Old-castle, the good</i> Lord Cobham.","Written by William Shakespeare.","<i>As it hath bene lately acted by the Right honorable the Earle of Notingham Lord High Admirall of England, his Seruants.</i>",,"<i>London printed for T. P.</i> 1600.",,,,,,,,,,,,"The first part of the true and honorable history of the life of Sir John Oldcastle the good lord Cobham as it hath been lately acted by the right honorable the Earl of Nottingham Lord high admiral of England his servants written by William Shakespeare London printed for T.P. 1600","Adult Professional","Wilson, Robert; Drayton, Michael; Munday, Anthony; Hathaway, Richard",History,,"Jaggard, William","Pavier, Thomas","Admiral's (Nottingham's) Men","Admiral's (Nottingham's) Men",,
293,,"2 Henry the Fourth","Two iv",1600,1600,1597,"1597 [1597-1598]",1600,"Single-Play Playbook",None,167a(i),22288,,1,1,"Gathering E exists in two states: leaves E3-E4 in Greg 167a(i) were replaced by a complete sheet of four leaves (E3-E6) in Greg 167a(ii), adding a passage to Act III. See also Greg ",Q1,"1 quarto, 2 folios in collection",42,,,,,,,,,,,,"Aug 23, 1600: Entered to Andrew Wise and William Aspley: ""Twoo book<i>es</i>. ... Thother the second p<i>ar</i>te of the history of kinge henry the iiij<sup>th</sup> w<sup>th</sup> the humo<sup>r</sup>s of S<sup>r</sup> Iohn ffallstaff: Wrytten by m<sup>r</sup> Shakespere"".",Quarto,,"THE Second part of Henrie the fourth, continuing to  his death, <i>and coronation of Henrie</i> the fift. With the humours of sir Iohn Fal<i>staffe,  and swaggering</i> Pistoll.","<i>Written by  William Shakespeare</i>.","<i>As it  hath been sundrie times publikely</i> acted by the right honourable, the Lord  Chamberlaine his seruants.",,"LONDON  Printed by V. S. for Andrew Wise, and William  Aspley. 1600.",,,,,,,,,,,,"The second part of Henry the fourth continuing to his death and coronation of Henry the fifth with the humors of Sir John Falstaff and swaggering Pistol as it hath been sundry times publicly acted by the right honorable the lord chamberlain his servants written by William Shakespeare London printed by V.S. for Andrew Wise and William Aspley 1600","Adult Professional","Shakespeare, William",History,,"Simmes, Valentine","Wise, Andrew; Aspley, William","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,
294,,"2 Henry the Fourth","Two iv",1600,1600,1597,"1597 [1597-1598]",1600,"Single-Play Playbook",None,167a(ii),22288a,,1,1,"Gathering E exists in two states: leaves E3-E4 in Greg 167a(i) were replaced by a complete sheet of four leaves (E3-E6) in Greg 167a(ii), adding a passage to Act III. See also Greg ",Q1,"1 quarto, 2 folios in collection",44,,,,,,,,,,,,"Aug 23, 1600: Entered to Andrew Wise and William Aspley: ""Twoo book<i>es</i>. ... Thother the second p<i>ar</i>te of the history of kinge henry the iiij<sup>th</sup> w<sup>th</sup> the humo<sup>r</sup>s of S<sup>r</sup> Iohn ffallstaff: Wrytten by m<sup>r</sup> Shakespere"".",Quarto,,"THE Second part of Henrie the fourth, continuing to  his death, <i>and coronation of Henrie</i> the fift. With the humours of sir Iohn Fal<i>staffe,  and swaggering</i> Pistoll.","<i>Written by  William Shakespeare</i>.","<i>As it  hath been sundrie times publikely</i> acted by the right honourable, the Lord  Chamberlaine his seruants.",,"LONDON  Printed by V. S. for Andrew Wise, and William  Aspley. 1600.",,,,,,,,,,,,"The second part of Henry the fourth continuing to his death and coronation of Henry the fifth with the humors of Sir John Falstaff and swaggering Pistol as it hath been sundry times publicly acted by the right honorable the lord chamberlain his servants written by William Shakespeare London printed by V.S. for Andrew Wise and William Aspley 1600","Adult Professional","Shakespeare, William",History,,"Simmes, Valentine","Wise, Andrew; Aspley, William","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,
295,,"Much Ado About Nothing",,1600,1600,1598,1598,1600,"Single-Play Playbook",None,168a,22304,,1,1,,Q1,"1 quarto, 2 folios in collection",36,,,,,,,,,,,,"Aug 4, 1600(?): ""The com<i>m</i>edie of muche A doo about nothinge. / a booke / to be staied"".<br />Aug 23, 1600: Entered to Andrew Wise and William Aspley: ""Twoo book<i>es</i>. the one called: Muche a Doo about nothinge. ... Wrytten by m<sup>r</sup> Shakespere"".",Quarto,,"Much adoe about Nothing.","<i>Written by  William Shakespeare</i>.","<i>As it  hath been sundrie times publikely</i> acted by the right honourable, the Lord  Chamberlaine his seruants.",,"LONDON  Printed by V. S. for Andrew Wise, and William  Aspley. 1600.",,,,,,,,,,,,"Much ado about nothing as it hath been sundry times publicly acted by the right honorable the lord chamberlain his servants written by William Shakespeare London printed by V.S. for Andrew Wise and William Aspley 1600","Adult Professional","Shakespeare, William",Comedy,,"Simmes, Valentine","Wise, Andrew; Aspley, William","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,
296,,"The Wisdom of Doctor Dodypoll",,1600,1600,1600,1600,1600,"Single-Play Playbook",None,169a,6991,,1,1,,Q1,"1 quarto",32,,,,,,,,,,,,"Oct 7, 1600: Entered to Richard Oliffe: ""A booke called. The Wisdom of D<i>o</i>c<i>to</i><sup>r</sup> Dodepole Plaied by the Children of paules"".<br />Jan 5, 1616: Transferred from the widow of Richard Oliffe to Henry Bell: ""Do<sup>r</sup> Dodipoll"".<br />Sep 4, 1638: Transferred from Henry Bell and Moses Bell to John Haviland and John Wright (1): ""Saluo Iure Cuiuscunq<i>ue</i>. ... Docter Doddipoll. a Play.""",Quarto,,"THE Wisdome of Doctor Dodypoll.",,"<i>As it  hath bene sundrie times Acted by the Children of Powles</i>.",,"LONDON  Printed by Thomas Creede, for Richard Oliue,  dwelling in Long Lane. 1600.",,"<i>Imprinted at London by Thomas Creede, for Richard Oliue</i>, dwwelling in Long-lane. 1600. [H3v]",,,,,,,,,,"The wisdom of Doctor Dodypoll as it hath been sundry times acted by the children of Paul's London printed by Thomas Creede for Richard Oliffe dwelling in Long Lane 1600","Boys Professional",Anonymous,Comedy,,"Creede, Thomas","Oliffe, Richard","Children of Paul's (second)","Children of Paul's (second)",,"E.9 (Smithfield - Long Lane)"
297,,"A Midsummer Night's Dream","Nights Midsummer's Midsummers Night",1600,1600,1595,"1595 [1595-1596]",1600,"Single-Play Playbook",None,170a,22302,,1,1,,Q1,"2 quartos, 2 folios in collection",32,,,,,,,,,,,,"Oct 8, 1600: Entered to Thomas Fisher: ""A booke called A mydsom<i>m</i>er night<i>es</i> dreame"".",Quarto,"<i>William Shakespeare: A Textual Companion</i> dates the first production to 1595; <i>Annals</i> dates it to 1596.","A Midsommer nights dreame.","<i>Written by  William Shakespeare</i>.","As it hath beene sundry times pub<i>lickely acted, by the Right honoura</i>ble,  the Lord Chamberlaine his <i>seruants</i>.",,"Imprinted at London, for <i>Thomas Fisher</i>, and are to be  soulde at his shoppe, at the Signe of the White Hart, in <i>Fleetestreete</i>. 1600.",,,,,,,,,,,,"A midsummer night's dream as it hath been sundry times publicly acted by the right honorable the lord chamberlain his servants written by William Shakespeare imprinted at London for Thomas Fisher and are to be sold at his shop at the sign of the White Hart in Fleet Street 1600","Adult Professional","Shakespeare, William",Comedy,,"Bradock, Richard","Fisher, Thomas","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,"W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)"
298,,"A Midsummer Night's Dream","Nights Midsummer's Midsummers Night",1619,"1600 [i.e., 1619]",1595,"1595 [1595-1596]",1600,"Single-Play Playbook",None,170b,22303,,2,2,,Q2,"2 quartos, 2 folios in collection",32,,,,,,,,,,,,"Oct 8, 1600: Entered to Thomas Fisher: ""A booke called A mydsom<i>m</i>er night<i>es</i> dreame"".",Quarto,"The imprint is false; the volume was actually printed in 1619 by William Jaggard for Thomas Pavier and apparently intended to form part of Pavier's Shakespeare collection of that year. <i>William Shakespeare: A Textual Companion</i> dates the first production to 1595; <i>Annals</i> dates it to 1596.","A Midsommer nights dreame.","<i>Written by William</i> S<i>hakespeare</i>.","As it hath beene sundry times pub<i>likely acted, by the Right Honoura</i>ble,  the Lord Chamberlaine his <i>seruants</i>.",,"<i>Printed by  Iames Roberts</i>, 1600.",,,,,,,,,,,,"A midsummer night's dream as it hath been sundry times publicly acted by the right honorable the lord chamberlain his servants written by William Shakespeare printed by James Roberts 1600","Adult Professional","Shakespeare, William",Comedy,,"Jaggard, William","Pavier, Thomas","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,
299,,"The Weakest Goeth to the Wall",goes,1600,1600,1600,"1600 [c.1595-1600]",1600,"Single-Play Playbook",None,171a,25144,,1,1,,Q1,"2 quartos",36,,,,,,,,,,,,"Oct 23, 1600: Entered to Richard Oliffe: ""a booke called, the weakest goethe to the walles"".<br />Nov 6, 1615: Transferred from the widow of Richard Oliffe to Philip Knight: ""The weakest to the wall.""<br />Oct 18, 1617: Transferred from Philip Knight to Richard Hawkins: ""theis two plaie book<i>es</i> followinge viz<sup>t</sup>t. ... the weakest goes to the wall"".<br />May 29, 1638: Transferred from the widow of Richard Hawkins to Robert Mead and Christopher Meredith: ""The weakest goes to the wall a play"".<br />Jan 25, 1639: Transferred from Robert Mead and Christopher Meredith to William Leake (2): ""The weakest goes to the wall a Play.""",Quarto,,"THE WEAKEST goeth to the Wall.",,"<i>As it  hath bene sundry times plaide by the right honourable Earle of</i> Oxenford, <i>Lord great Chamberlaine of</i> England <i>his seruants</i>.",,"LONDON  Printed by Thomas Creede, for Richard Oliue,  dwelling in Long Lane. 1600.",,,,,,,,,,,,"The weakest goeth to the wall as it hath been sundry times played by the right honorable Earl of Oxford lord great Chamberlain of England his servants London printed by Thomas Creede for Richard Oliffe dwelling in Long Lane 1600","Adult Professional",Anonymous,Pseudo-History,,"Creede, Thomas","Oliffe, Richard","Oxford's Men","Oxford's Men",,"E.9 (Smithfield - Long Lane)"
300,,"The Weakest Goeth to the Wall",goes,1618,1618,1600,"1600 [c.1595-1600]",1600,"Single-Play Playbook",None,171b,25145,,2,2,,Q2,"2 quartos",36,,,,,,,,,,,,"Oct 23, 1600: Entered to Richard Oliffe: ""a booke called, the weakest goethe to the walles"".<br />Nov 6, 1615: Transferred from the widow of Richard Oliffe to Philip Knight: ""The weakest to the wall.""<br />Oct 18, 1617: Transferred from Philip Knight to Richard Hawkins: ""theis two plaie book<i>es</i> followinge viz<sup>t</sup>t. ... the weakest goes to the wall"".<br />May 29, 1638: Transferred from the widow of Richard Hawkins to Robert Mead and Christopher Meredith: ""The weakest goes to the wall a play"".<br />Jan 25, 1639: Transferred from Robert Mead and Christopher Meredith to William Leake (2): ""The weakest goes to the wall a Play.""",Quarto,,"THE WEAKEST goeth to the Wall.",,"<i>As it  hath been sundry times plaid by the right honourable Earle of</i> Oxenford, <i>Lord great Chamberlaine of</i> England <i>his seruants</i>.",,"L<small>ONDON</small>, Printed by <i>G. P.</i> for <i>Richard Hawkins</i>, and are to be sold at his shop in Chancery-Lane, neere Serieants Inne. 1618. [<i>var</i>.: ""sould""; ""<i>S</i>erieants""]",,,,,,,,,,,,"The weakest goeth to the wall as it hath been sundry times played by the right honorable Earl of Oxford Lord great Chamberlain of England his servants London printed by G.P. for Richard Hawkins and are to be sold at his shop in Chancery lane near Sergeants' inn 1618","Adult Professional",Anonymous,Pseudo-History,,"Purslowe, George","Hawkins, Richard","Oxford's Men","Oxford's Men",,"W.10c (Fleet St. - Chancery Lane near Serjeants' Inn)"
301,,"The Merchant of Venice (The Jew of Venice)",,1600,1600,1596,"1596 [1596-1598]",1600,"Single-Play Playbook",None,172a,22296,,1,1,,Q1,"3 quartos, 2 folios in collection",38,,,,,,,,,,,,"Jul 22, 1598: Entered to James Roberts: ""a booke of the Marchaunt of Venyce or otherwise called the Iewe of Venyce./ Prouided that yt bee not prynted by the said Iames Robert<i>es</i>; or anye other whatsoeuer w<sup>th</sup>out lycence first had from the Right honorable the lord Chamberlen"".<br />Oct 28, 1600: Transferred from James Roberts to Thomas Hayes: ""A booke called the booke of the m<i>er</i>chant of Venyce"".<br />Jul 8, 1619: Transferred from Thomas Hayes decd. to Lawrence Hayes: ""A play Called The Marchant of Venice"".<br />Oct 17, 1657: Transferred from the widow of Lawrence Hayes and Jane Graisby to William Leake (2): ""the Booke or Copie called The Merchant of Venice a Play written by William Shakespeare Gent<i>leman</i>"".",Quarto,,"The most excellent Historie of the <i>Merchant of Venice</i>. With the extreame  crueltie of <i>Shylocke</i> the Iewe towards  the sayd Merchant, in cutting a iust pound of his flesh: and the obtayning of <i>Portia</i> by the choyse of three chests.","Written by William Shakespeare.","<i>As it  hath beene diuers times acted by the Lord Chamberlaine his Seruants</i>.",,"AT LONDON,  Printed by <i>I. R.</i> for Thomas Heyes,  and are to be sold in Paules Church-yard, at the signe of the Greene Dragon.  1600.",,,,,,,,,,,,"The most excellent history of the merchant of Venice with the extreme cruelty of Shylock the Jew towards the said merchant in cutting a just pound of his flesh and the obtaining of Portia by the choice of three chests as it hath been divers times acted by the lord chamberlain his servants written by William Shakespeare at London printed By J.R. for Thomas Hayes and are to be sold in Paul's Churchyard at the sign of the Green Dragon 1600","Adult Professional","Shakespeare, William",Comedy,,"Roberts, James","Hayes, Thomas","Lord Chamberlain's (Hunsdon's) Men","Lord Chamberlain's (Hunsdon's) Men",,"A.3 (Paul's Churchyard - Northeast)"
